name,count,type,mobilityRate,parMedian
University Of San Francisco,606.3333333,2,0.027077734,106900
"California State University, Stanislaus",603,1,0.038550034,72300
Chapman University,603,2,0.017024867,109600
"Marinello School Of Beauty, Xenon International Academy, International School Of Skin And Nailcare And Hair Professionals Academy",591.3333333,3,0.0073281811,44200
Gavilan College,588.6666667,1,0.01774694,80500
College Of Marin,580.6666667,1,0.017165836,82000
Pepperdine University,569.3333333,2,0.018597502,124100
"California State University, Bakersfield",542.6666667,1,0.04607648,67700
San Joaquin Valley College,536.5,3,0.027570302,36000
Biola University,535,2,0.017981296,95300
Saint Mary's College Of California,509.6666667,2,0.029426431,110500
Point Loma Nazarene University,501.6666667,2,0.014089341,113300
Academy Of Art University,495.6666667,3,0.01635739,92300
"American Career College of Los Angeles, CA",489.5,3,0.019744419,30400
Mendocino College,482,1,0.012631007,51900
Barstow Community College,478,1,0.034888964,58000
"California State University, Dominguez Hills",451.3333333,1,0.056009766,45600
Carrington College California,434.5,3,0.0170296,47900
"California State University, San Marcos",427.6666667,1,0.020967012,93600
Westwood College - Los Angeles,412.5,3,0.017930759,37800
University Of Redlands,397.3333333,2,0.017173236,108400
Occidental College,380,2,0.033389218,122400
Pomona College,369.3333333,2,0.019502569,161600
College Of The Siskiyous,345,1,0.019861612,57500
Lake Tahoe Community College,340.6666667,1,0.013964919,64600
Copper Mountain College,327,1,0.038822509,50100
"California State University, Monterey Bay",322.6666667,1,0.033873096,93200
California Lutheran University,300,2,0.012286789,110600
Westmont College,296.6666667,2,0.010913183,132100
Lassen College,292,1,0.018295955,64200
Center For Employment Training,290,2,0.01181031,29300
University Of La Verne,285.3333333,2,0.036298785,72300
Claremont Mckenna College,266,2,0.029592477,142000
Whittier College,251,2,0.029580679,98500
Brooks Institute,250.1666667,3,0.010514108,95300
"Milan Institute of Palm Desert, CA",242,3,0,35800
Vanguard University Of Southern California,240.3333333,2,0.011353597,83200
Pacific Union College,233,2,0.027723918,96400
"Paul Mitchell The School of Costa Mesa, CA",227,3,0.00029449805,85200
Mount St. Mary's College,222.3333333,2,0.063886866,48500
International Career Development Center,215,3,0.01266721,29500
Master's College & Seminary,213.6666667,2,0.010637505,87700
La Sierra University,205,2,0.032972757,81300
"Concordia University of Irvine, CA",201,2,0.014180595,94000
California Baptist University,197.3333333,2,0.023633266,82600
Pitzer College,192,2,0.022146214,131900
California Institute Of Technology,190.6666667,2,0.031777687,124500
Scripps College,185,2,0.025185836,126300
Feather River College,179,1,0.015292063,66000
Glendale Career College,172,3,0.032009132,33200
Musicians Institute,170.5,3,0.0032767779,77400
Santa Barbara Business College,167,3,0.0052685547,39400
Harvey Mudd College,164,2,0.029232727,139800
Simpson University,161,2,0.016695656,72700
Fresno Pacific University,160.6666667,2,0.037159514,71100
Summit College,160,3,0.01927687,39600
Crimson Technical College,156,3,0.075222887,44700
California Culinary Academy,154,3,0.016258487,66000
Taft College,153.5,1,0.033660512,62300
Dominican University Of California,137.6666667,2,0.031980876,98100
"Le Cordon Bleu College Of Culinary Arts of Pasadena, CA",131.6666667,3,0.02866322,64800
Otis College Of Art & Design,124,2,0.042668778,80500
California College Of The Arts,123.6666667,2,0.0085592549,90100
California Institute Of The Arts,122.6666667,2,0.009437901,108700
Argosy University,119,3,0.00085495313,84000
Woodbury University,115.6666667,2,0.06364359,61900
Mills College,115,2,0.032862529,79100
Marymount California University,110,2,0.018336337,104900
Art Center College Of Design,109.5,2,0.04573692,84800
"Platt College of Alhambra, CA",99.66666667,3,0.035378132,48500
MTI College,98,3,0.014236747,48400
California Maritime Academy,92,1,0.050363775,113100
Westwood College - South Bay,52.5,3,0.031802882,39500
California State University Channel Islands,50,1,0.015977334,96300
